Z_MIN,TUILE,TO_DALLE
"42,535",tile_x14y97,CO
"43,260",tile_x14y98,CO
"42,626",tile_x14y99,CO
"43,090",tile_x15y100,CO
"43,300",tile_x15y101,CO
"43,057",tile_x15y102,CN
"42,305",tile_x15y103,CN
"42,462",tile_x15y104,CN
"43,139",tile_x15y105,CN
"42,881",tile_x15y106,CN
"43,284",tile_x15y107,CM
"41,898",tile_x15y80,CS
"42,021",tile_x15y81,CS
"42,300",tile_x15y82,CR
"43,140",tile_x15y83,CR
"43,010",tile_x15y84,CR
"42,036",tile_x15y85,CR
"41,153",tile_x15y86,CR
"43,030",tile_x15y87,CQ
"42,860",tile_x15y88,CQ
"43,000",tile_x15y89,CQ
"43,010",tile_x15y90,CQ
"42,115",tile_x15y91,CQ
"43,110",tile_x15y92,CP
"43,130",tile_x15y93,CP
"42,281",tile_x15y94,CP
"42,594",tile_x15y95,CP
"42,950",tile_x15y96,CP
"42,348",tile_x15y97,CO
"42,568",tile_x15y98,CO
"42,137",tile_x15y99,CO
"43,220",tile_x16y100,CO
"43,150",tile_x16y101,CO
"43,415",tile_x16y102,CN
"42,152",tile_x16y103,CN
"42,982",tile_x16y104,CN
"43,109",tile_x16y105,CN
"42,806",tile_x16y106,CN
"42,814",tile_x16y107,CM
"43,185",tile_x16y108,CM
"43,346",tile_x16y79,CS
"41,644",tile_x16y80,CS
"42,007",tile_x16y81,CS
"42,132",tile_x16y82,CR
"41,961",tile_x16y83,CR
"41,822",tile_x16y84,CR
"41,325",tile_x16y85,CR
"41,050",tile_x16y86,CR
"42,980",tile_x16y87,CQ
"42,780",tile_x16y88,CQ
"42,870",tile_x16y89,CQ
"41,591",tile_x16y90,CQ
"42,056",tile_x16y91,CQ
"42,660",tile_x16y92,CP
"41,918",tile_x16y93,CP
"42,081",tile_x16y94,CP
"42,720",tile_x16y95,CP
"42,550",tile_x16y96,CP
"42,200",tile_x16y97,CO
"41,939",tile_x16y98,CO
"42,240",tile_x16y99,CO
"43,060",tile_x17y100,CO
"43,160",tile_x17y101,CO
"41,889",tile_x17y102,CN
"42,026",tile_x17y103,CN
"43,243",tile_x17y104,CN
"42,832",tile_x17y105,CN
"42,994",tile_x17y106,CN
"42,921",tile_x17y107,CM
"42,912",tile_x17y108,CM
"42,580",tile_x17y78,CS
"41,949",tile_x17y79,CS
"41,250",tile_x17y80,CS
"41,837",tile_x17y81,CS
"41,928",tile_x17y82,CR
"42,029",tile_x17y83,CR
"41,770",tile_x17y84,CR
"41,293",tile_x17y85,CR
"41,088",tile_x17y86,CR
"42,520",tile_x17y87,CQ
"42,580",tile_x17y88,CQ
"42,680",tile_x17y89,CQ
"41,542",tile_x17y90,CQ
"42,701",tile_x17y91,CQ
"42,350",tile_x17y92,CP
"41,690",tile_x17y93,CP
"41,961",tile_x17y94,CP
"42,570",tile_x17y95,CP
"42,500",tile_x17y96,CP
"42,240",tile_x17y97,CO
"41,540",tile_x17y98,CO
"42,710",tile_x17y99,CO
"41,632",tile_x18y100,CO
"42,777",tile_x18y101,CO
"41,561",tile_x18y102,CN
"43,000",tile_x18y103,CN
"43,360",tile_x18y104,CN
"42,615",tile_x18y105,CN
"42,631",tile_x18y106,CN
"42,871",tile_x18y107,CM
"42,923",tile_x18y108,CM
"44,020",tile_x18y109,CM
"44,420",tile_x18y110,CM
"42,230",tile_x18y77,CS
"42,926",tile_x18y78,CS
"42,068",tile_x18y79,CS
"41,663",tile_x18y80,CS
"42,820",tile_x18y81,CS
"42,600",tile_x18y82,CR
"42,700",tile_x18y83,CR
"41,445",tile_x18y84,CR
"41,041",tile_x18y85,CR
"41,699",tile_x18y86,CR
"41,515",tile_x18y87,CQ
"41,712",tile_x18y88,CQ
"41,546",tile_x18y89,CQ
"41,478",tile_x18y90,CQ
"41,665",tile_x18y91,CQ
"41,180",tile_x18y92,CP
"41,722",tile_x18y93,CP
"41,690",tile_x18y94,CP
"41,994",tile_x18y95,CP
"42,340",tile_x18y96,CP
"42,610",tile_x18y97,CO
"41,480",tile_x18y98,CO
"42,670",tile_x18y99,CO
"42,660",tile_x19y100,CO
"41,160",tile_x19y101,CO
"41,203",tile_x19y102,CN
"42,870",tile_x19y103,CN
"43,190",tile_x19y104,CN
"42,562",tile_x19y105,CN
"43,200",tile_x19y106,CN
"42,701",tile_x19y107,CM
"42,630",tile_x19y108,CM
"42,951",tile_x19y109,CM
"44,339",tile_x19y110,CM
"44,610",tile_x19y111,CM
"44,340",tile_x19y112,CL
"44,070",tile_x19y113,CL
"44,005",tile_x19y114,CL
"44,160",tile_x19y115,CL
"44,470",tile_x19y116,CL
"42,460",tile_x19y73,CT
"42,363",tile_x19y74,CT
"42,480",tile_x19y75,CT
"42,018",tile_x19y76,CT
"42,696",tile_x19y77,CS
"41,860",tile_x19y78,CS
"42,940",tile_x19y79,CS
"41,506",tile_x19y80,CS
"41,441",tile_x19y81,CS
"41,454",tile_x19y82,CR
"41,426",tile_x19y83,CR
"41,232",tile_x19y84,CR
"40,801",tile_x19y85,CR
"42,600",tile_x19y86,CR
"42,190",tile_x19y87,CQ
"42,320",tile_x19y88,CQ
"41,541",tile_x19y89,CQ
"41,280",tile_x19y90,CQ
"41,515",tile_x19y91,CQ
"41,084",tile_x19y92,CP
